geneNames	transcriptNames	id	fc	pval	qval
.	MSTRG.3336.1	6230	1.24040311499311	0.00506405374658725	0.87545165134104
.	MSTRG.10526.2	20589	0.503478474241271	0.00507847805499073	0.87545165134104
.	MSTRG.8439.2	16370	2.81527762278294	0.00515250931780742	0.87545165134104
.	MSTRG.9379.16	18393	1.55643260389001	0.005166065459832	0.87545165134104
.	MSTRG.5040.2	9548	0.709940329972301	0.00528634973709941	0.87545165134104
.	MSTRG.8317.2	16132	14.264403966911	0.00530658668079487	0.87545165134104
.	MSTRG.2057.1	3818	1.78625796905132	0.00543278071758979	0.87545165134104
.	MSTRG.11952.2	23702	0.535518637313935	0.00544200014053087	0.87545165134104
.	MSTRG.11469.1	22546	1.51597811869646	0.0054783909146362	0.87545165134104
.	MSTRG.300.2	538	1.41393116707464	0.00549284900187219	0.87545165134104
